AM_STRT_NAME,AM_DRNR,COL_DES,COLO_ZIPCODE,CIUDAD,ESTADO,COD_PAIS,DELMUN,state,county,city,district,street,houseNumber,postalCode,reference,lat,lng,score,prev_score,PP_calle,PP_numero,PP_cp,PP_latitud,PP_longitud,PP_ciudad,PP_colonia,PP_neighborhood,PP_state,PP_estado,PP_country_code,PP_cp_num,PP_diferencia,PP_alcaldia,PP_method
 AVE. JUÁREZ,400,SAN LORENZO RIO TENCO,54713.0,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,MEXICO,CUAUTITLAN IZCALLI,México,Cuautitlán Izcalli,Cuautitlán Izcalli,San Lorenzo Río Tenco,Avenida Juárez,400,54713.0,,19.7027,-99.185,0.9,0.8,Avenida Juarez,367.0,54713,19.70242,-99.1832456,Cuautitlán Izcalli,Jaltipa,None,Méx.,Estado de México,MX,54713.0,33.0,,FUZZ
"ARTILLEROS DE 1847, 140",201,CHAPULTEPEC SUR,58260.0,MORELIA,MICHOACAN,MEXICO,MORELIA,Michoacán de Ocampo,Morelia,Morelia,Chapultepec Sur,Artilleros de 1847,140 201,58260.0,,19.6904,-101.16212,0.91,1.0,Artilleros de 1847,270.0,58260,19.6920695,-101.1736513,Morelia,Chapultepec Sur,None,,Michoacán,MX,58260.0,130.0,,EXACT
3ER PISO,SN,EL CERRITO,42200.0,EL CERRITO,HIDALGO,MEXICO,JACALA DE LEDEZMA,Hidalgo,Jacala de Ledezma,Jacala de Ledezma,El Cerrito,El Cerrito,Sin Número,42200.0,3er Piso,21.0092363,-99.19475090000002,0.3,0.3,Benito Juárez,0.0,42200,21.0078848,-99.1891444,Jacala,None,None,Hgo.,Hidalgo,MX,42200.0,0.0,,FUZZ
5 DE MAYO,4006,NUEVO SAN RAFAEL,67118.0,GUADALUPE,NUEVO LEON,MEXICO,GUADALUPE,Nuevo León,Guadalupe,Guadalupe,Nuevo San Rafael,5 de Mayo,4006,67118.0,,25.69448,-100.20645,1.0,0.3,Calle Diego de Montemayor,4815.0,67118,25.699656,-100.2058852,Guadalupe,Misión del Valle,None,N.L.,Nuevo León,MX,67118.0,809.0,,FUZZ
CALLE FLOR DE NOCHE BUENA,EXT. 6,JARDINES DE AHUATLAN,62130.0,CUERNAVACA,MORELOS,MEXICO,CUERNAVACA,Morelos,Cuernavaca,Cuernavaca,Jardines de Ahuatlán,Calle Flor de Noche Buena,Ext. 6,62130.0,,18.95934,-99.26329,1.0,1.0,Flor de Noche Buena,2.0,62130,18.9589912,-99.2634353,Fraccionamiento Lomas de Ahuatlán,Lomas de Ahuatlan,None,Mor.,Morelos,MX,62130.0,4.0,,FUZZ
AVENIDA CUERNAVACA,3832,SAN RAFAEL,67110.0,GUADALUPE,NUEVO LEON,MEXICO,GUADALUPE,Nuevo León,Guadalupe,Guadalupe,San Rafael,Avenida Cuernavaca,3832,67110.0,,25.69642,-100.20798,0.98,1.0,Cuernavaca,3822.0,67110,25.6962918,-100.2086987,Guadalupe,Emiliano Zapata (Fomerrey 18),None,N.L.,Nuevo León,MX,67110.0,10.0,,FUZZ
JOSÉ MA. IZAZAGA,1183,RENACIMIENTO,39715.0,ACAPULCO,GUERRERO,MEXICO,ACAPULCO DE JUAREZ,Guerrero,Acapulco de Juárez,Acapulco de Juárez,Renacimiento,José Ma. Izazaga,1183,39715.0,,16.892856,-99.8223713,0.5,0.5,José María Izazaga,94.0,39715,16.8907113,-99.8199848,Acapulco de Juárez,Ciudad Renacimiento,None,Gro.,Guerrero,MX,39715.0,1089.0,,FUZZ
FLORENCIA  #361,-,SANTA LUCIA,98502.0,VICTOR ROSALES,ZACATECAS,MEXICO,CALERA,Zacatecas,Calera,Víctor Rosales,Santa Lucía,Florencia,361,98502.0,,22.95388,-102.70957,0.93,0.3,Francisco Castorena,104.0,98502,22.9529112,-102.7084352,Víctor Rosales,Año de Juárez,None,Zac.,Zacatecas,MX,98502.0,257.0,,FUZZ
CERRADA LAUREL 65 HACIENDA DEL TEPEYAC,--,RESIDENCIAL TEPEYAC DEL SOL,45053.0,ZAPOPAN,JALISCO,MEXICO,ZAPOPAN,Jalisco,Zapopan,Zapopan,Hacienda Del Tepeyac,Cerrada Laurel,65,45053.0,Residencial Tepeyac Del Sol,20.6492,-103.43993,0.95,1.0,Lázaro Cárdenas,20.0,45053,20.7666307,-103.4408928,Nuevo México,Marcelino García Barragán,None,Jal.,Jalisco,MX,45053.0,45.0,,FUZZ
AGUSTIN DELGADO,274,TRANSITO,6820.0,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MEXICO,CUAUHTEMOC,Ciudad de México,Cuauhtémoc,Ciudad de México,Tránsito,Agustín Delgado,274,6820.0,,19.41406,-99.13337,1.0,1.0,AGUSTIN DELGADO,275.0,6820,19.41389656,-99.13372272,,transito,,,,,6820.0,1.0,cuauhtemoc,FUZZ
